date,health
Sep-09,3972
Oct-09,8439
Nov-09,9337
Dec-09,5431
Jan-10,4129
Feb-10,7632
Mar-10,10208
Apr-10,14336
May-10,7297
Jun-10,10624
Jul-10,37908
Aug-10,25580
Sep-10,30021
Oct-10,24850
Nov-10,30915
Dec-10,28286
Jan-11,48220
Feb-11,66994
Mar-11,54862
Apr-11,62705
May-11,59762
Jun-11,55543
Jul-11,56762
Aug-11,73897
Sep-11,59268
Oct-11,45369
Nov-11,58995
Dec-11,46893
Jan-12,61712
Feb-12,289843
Mar-12,238587
Apr-12,87907
May-12,78144
Jun-12,75780
Jul-12,120345
Aug-12,302149
Sep-12,158948
Oct-12,250758
Nov-12,160845
Dec-12,96995
Jan-13,206774
Feb-13,164500
Mar-13,185139
Apr-13,176556
May-13,179306
Jun-13,183191
Jul-13,188529
Aug-13,146959
Sep-13,151316
Oct-13,181161
Nov-13,174900
Dec-13,146080
Jan-14,198872
