,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,gridId
281,I192028839,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E18,525,,2019-04-19 15:29:00,2019,4,Friday,15,Part One,NEPONSET VALLEY PKWY,42.23687951,-71.13068805,"(42.23687951, -71.13068805)",423.0
351,I192028757,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,355,,2019-04-19 11:23:00,2019,4,Friday,11,Part One,ADAMS ST,42.29760605,-71.05676442,"(42.29760605, -71.05676442)",3450.0
509,I192028584,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,786,,2019-04-18 15:49:00,2019,4,Thursday,15,Part One,EGREMONT RD,42.34115127,-71.14343417,"(42.34115127, -71.14343417)",5618.0
559,I192028525,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,586,,2019-04-18 03:00:00,2019,4,Thursday,3,Part One,HILLSIDE ST,42.33013124,-71.10138008,"(42.33013124, -71.10138008)",5134.0
589,I192028489,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,303,,2019-04-18 03:48:00,2019,4,Thursday,3,Part One,BRAGDON ST,42.31925844,-71.10003222,"(42.31925844, -71.10003222)",4534.0
596,I192028481,541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,E18,503,,2019-04-18 10:15:00,2019,4,Thursday,10,Part One,AMERICAN LEGION HWY,42.28314714,-71.11374152,"(42.28314714, -71.11374152)",2729.0
791,I192028260,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,300,,2019-04-17 11:26:00,2019,4,Wednesday,11,Part One,HIGHLAND ST,42.32599863,-71.09318420000001,"(42.32599863, -71.09318420)",4937.0
799,I192028255,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,B2,329,,2019-04-17 10:18:00,2019,4,Wednesday,10,Part One,BLUE HILL AVE,42.30938437,-71.08262277,"(42.30938437, -71.08262277)",4041.0
817,I192028236,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,470,,2019-04-17 09:57:00,2019,4,Wednesday,9,Part One,ORLANDO ST,42.27544327,-71.09817294,"(42.27544327, -71.09817294)",2335.0
908,I192028139,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,128,,2019-04-16 13:00:00,2019,4,Tuesday,13,Part One,CLARENDON ST,42.34854636,-71.07416609,"(42.34854636, -71.07416609)",6044.0
920,I192028127,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,803,,2019-04-16 18:17:00,2019,4,Tuesday,18,Part One,EVERETT ST,42.35595088,-71.13830108,"(42.35595088, -71.13830108)",6420.0
988,I192028044,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,461,,2019-04-12 12:00:00,2019,4,Friday,12,Part One,ROSSETER ST,42.30417845,-71.07600129,"(42.30417845, -71.07600129)",3843.0
