name,rank,cost,size,rate
Williams College,1,46600,2106,17
Amherst College,2,46574,1817,13
Swarthmore College,3,44718,1552,14.2
Bowdoin College,4,45446,1839,15.8
Middlebury College,4,45314,2516,17.2
Pomona College,4,43580,1607,13
Carleton College,7,46167,2055,25.6
Wellesley College,7,43554,2481,30.1
Claremont McKenna College,9,45625,1295,13.6
Davidson College,9,42849,1790,24.8
Haverford College,9,45426,1205,22.9
United States Naval Academy,12,0,4536,6.8
Vassar College,13,47890,2406,22.8
Hamilton College,14,46080,1884,27.2
Washington and Lee University,14,44507,2302,19.5
Harvey Mudd College,16,46509,783,19.2
Grinnell College,17,43656,1674,36.3
United States Military Academy,17,0,4592,9
Wesleyan University,17,46944,3262,20.9
Colgate University,20,46380,2886,29.4
Smith College,20,43114,3212,42.4
Bates College,22,45650,1753,26.6
Colby College,22,45760,1863,29
Macalester College,24,45388,2070,36.7
College of the Holy Cross,25,44272,2926,33.5
Oberlin College,25,46870,2944,31.3
Scripps College,25,45564,962,32.4
United States Air Force Academy,25,0,4120,9.9
University of Richmond,25,45320,3626,30.3
Bryn Mawr College,30,43900,1774,41.4
Colorado College,31,44222,2026,23
Barnard College,32,44790,2504,22.6
Bucknell University,32,46902,3618,27
Kenyon College,32,45640,1667,36
Pitzer College,35,43402,1084,15.7
Lafayette College,36,43970,2488,34.5
Trinity College,36,47510,2387,33.7
Bard College,38,46370,2322,35.2
Mount Holyoke College,38,41456,2344,42.1
Sewanee—_University of the South,38,35756,1557,58.8
Occidental College,41,46270,2178,39.4
Soka University of America,41,29092,438,45.8
Union College,41,46785,2241,38.2
Whitman College,41,43500,1539,48.6
Connecticut College,45,46085,1933,35.9
Dickinson College,45,46094,2386,40.2
Franklin and Marshall College,45,46285,2365,39.3
Skidmore College,45,45724,2689,41.9
Centre College,49,36000,1344,69.6
Denison University,50,43910,2336,49.5
Gettysburg College,50,45870,2597,40.3
Furman University,52,43164,2915,77.5
St. Olaf College,52,40700,3176,60.4
DePauw University,54,40640,2336,61.5
Rhodes College,54,39794,1927,54.6
St. Lawrence University,56,46040,2488,48.2
Wabash College,57,35650,906,67
Wheaton College,57,30880,3034,68.7
Beloit College,59,41250,1359,67.1
Lawrence University,59,41226,1525,76.2
Hobart and William Smith Colleges,61,46165,2300,53.1
Kalamazoo College,61,37810,1379,69
Thomas Aquinas College,61,24500,370,80.6
Willamette University,61,42305,2933,60.4
College of Wooster,65,41680,2080,58.1
Earlham College,65,41450,1211,74.9
Illinois Wesleyan University,65,39316,2013,59.5
Muhlenberg College,65,42755,2422,45.7
Southwestern University,65,35240,1394,60.5
Spelman College,65,24634,2145,38
Virginia Military Institute,65,35392,1664,46.3
Wheaton College,65,45074,1616,64.3
Wofford College,65,35515,1588,62.7
Lewis & Clark College,74,41928,3703,64
Reed College,74,44460,NaN,39.9
Berea College,76,1070,1658,31.8
Gustavus Adolphus College,76,39060,2524,63.4
St. John's University,76,37167,1983,74.8
St. Mary's College,76,34600,1469,84.8
Transylvania University,76,31560,1074,84.9
University of Puget Sound,76,41868,2857,82.7
Allegheny College,82,39100,2140,63.3
Austin College,82,33830,1260,59.1
Hendrix College,82,37816,1388,83
Hillsdale College,82,22890,1447,49
Knox College,82,38952,1430,77.6
Millsaps College,82,32520,915,54.8
Ursinus College,82,44530,1680,69.8
Agnes Scott College,89,34788,885,62
New College of Florida,89,29812,832,59.6
St. Mary's College of Maryland,89,28665,1933,72
St. Michael's College,89,39015,2410,78
College of the Atlantic,93,38952,340,70.6
College of St. Benedict,94,37926,2070,76.7
Luther College,94,37450,2473,70.2
Westmont College,94,38510,1355,66
Cornell College,97,36430,1180,52.9
Hampden—Sydney College,97,37352,1080,55.6
Washington and Jefferson College,97,39710,1429,40.8
Albion College,100,35866,1382,70.2
Augustana College,100,35835,2551,68.8
Bennington College,100,45680,826,63
Calvin College,100,28250,4008,75.6
Hope College,100,28720,3343,85.1
Juniata College,100,37170,1565,66.4
Ohio Wesleyan University,100,40510,1821,73.6
