name,rank,cost,size,rate
Princeton University,1,40170,8010,7.9
Harvard University,2,42292,19726,6.1
Yale University,3,44000,11906,7.1
Columbia University,4,49138,23168,7.4
Stanford University,5,43245,18217,6.6
University of Chicago,5,46386,12508,13.2
Duke University,7,45476,15386,13.4
Massachusetts Institute of Technology,7,43498,11189,9
University of Pennsylvania,7,45890,21339,12.6
California Institute of Technology,10,41538,2243,11.8
Dartmouth College,10,46752,6277,9.8
Johns Hopkins University,12,45470,21001,17.7
Northwestern University,12,45527,20439,15.3
Brown University,14,45612,8885,9.6
Washington University in St. Louis,14,44841,13952,17.9
Cornell University,16,45359,21424,16.6
Vanderbilt University,17,42978,12710,14.2
Rice University,18,38941,6484,16.7
University of Notre Dame,18,44605,12126,23.3
Emory University,20,44008,14236,26.3
Georgetown University,20,44805,17357,17
University of California-Berkeley,20,35742,35899,18
Carnegie Mellon University,23,46962,12569,27.8
University of California-Los Angeles,23,35574,41341,22
University of Southern California,23,46298,39958,19.9
University of Virginia,23,39844,23907,29.6
Wake Forest University,23,44742,7432,34
Tufts University,28,46598,10837,21.4
University of Michigan-Ann Arbor,28,40496,43426,36.6
University of North Carolina-Chapel Hill,30,30122,29278,27.6
Boston College,31,45622,13783,28.8
Brandeis University,32,46106,5808,39.1
College of William and Mary,32,37852,8258,32.2
New York University,32,44848,44516,35
University of Rochester,32,45372,10510,35.3
Georgia Institute of Technology,36,29954,21557,54.9
Case Western Reserve University,37,41800,10026,54.3
Pennsylvania State University-University Park,37,29566,45783,54.2
University of California-Davis,39,36774,32354,45.7
University of California-San Diego,39,36112,28294,37.8
Boston University,41,44910,32603,45.6
Lehigh University,41,43520,7080,32.6
Rensselaer Polytechnic Institute,41,46269,6999,43.6
University of California-Santa Barbara,41,36624,21927,44
University of Illinois-Urbana-Champaign,41,29640,44520,63.3
University of Wisconsin-Madison,41,26653,42820,54.6
University of Miami,47,42852,16172,39.7
Yeshiva University,47,37600,6753,84
Northeastern University,49,41686,20447,31.9
University of California-Irvine,49,37566,27479,42.4
University of Florida,49,28541,49913,44.1
George Washington University,52,47343,25653,33.1
Ohio State University-Columbus,52,25757,56387,64
Tulane University,52,46930,13486,27.3
University of Texas-Austin,52,33824,52186,46.8
University of Washington,52,29938,42568,59.2
Fordham University,57,43577,15170,42.9
Pepperdine University,57,44902,7319,38.5
University of Connecticut,57,30970,25483,44.7
Southern Methodist University,60,43800,10893,53.8
University of Georgia,60,28472,34519,56.1
Brigham Young University-Provo,62,4850,34409,54.9
Clemson University,62,30816,20768,57.9
Syracuse University,62,40458,21029,51.3
University of Maryland-College Park,62,28348,37197,46.8
University of Pittsburgh,62,27106,28769,56.1
Worcester Polytechnic Institute,62,42778,5957,52.6
Purdue University-West Lafayette,68,28794,39256,61.3
"Rutgers, the State University of New Jersey-New Brunswick",69,27523,40434,60.9
Texas A&M University-College Station,69,25126,50227,67.1
University of Minnesota-Twin Cities,69,19805,51853,49.5
Virginia Tech,69,25320,31087,70.4
Michigan State University,73,33750,48906,70.6
University of Iowa,73,26931,30119,78.4
